Comunidades y Ciudades Autónomas;Periodo;Total
14 Murcia, Región de;1995;58,25
14 Murcia, Región de;1994;55,25
14 Murcia, Región de;1993;52,56
14 Murcia, Región de;1992;50,24
14 Murcia, Región de;1991;47,77
14 Murcia, Región de;1990;45,09
14 Murcia, Región de;1989;42,62
14 Murcia, Región de;1988;40,65
14 Murcia, Región de;1987;38,51
14 Murcia, Región de;1986;36,85
14 Murcia, Región de;1985;35,74
14 Murcia, Región de;1984;34,74
14 Murcia, Región de;1983;33,97
14 Murcia, Región de;1982;33,44
14 Murcia, Región de;1981;33,01
14 Murcia, Región de;1980;32,1
14 Murcia, Región de;1979;31,5
14 Murcia, Región de;1978;31,38
14 Murcia, Región de;1977;31,01
14 Murcia, Región de;1976;30,88
14 Murcia, Región de;1975;30,26
15 Navarra, Comunidad Foral de;2025;139,26
15 Navarra, Comunidad Foral de;2024;134,36
15 Navarra, Comunidad Foral de;2023;129,9
15 Navarra, Comunidad Foral de;2022;126,89
15 Navarra, Comunidad Foral de;2021;123,21
15 Navarra, Comunidad Foral de;2020;120,71
15 Navarra, Comunidad Foral de;2019;118,66
15 Navarra, Comunidad Foral de;2018;117,38
15 Navarra, Comunidad Foral de;2017;115,99
15 Navarra, Comunidad Foral de;2016;114,89
15 Navarra, Comunidad Foral de;2015;113,73
15 Navarra, Comunidad Foral de;2014;112,19
15 Navarra, Comunidad Foral de;2013;109,83
15 Navarra, Comunidad Foral de;2012;108,54
15 Navarra, Comunidad Foral de;2011;108,11
15 Navarra, Comunidad Foral de;2010;107,16
15 Navarra, Comunidad Foral de;2009;107,57
15 Navarra, Comunidad Foral de;2008;109,3
15 Navarra, Comunidad Foral de;2007;111,49
15 Navarra, Comunidad Foral de;2006;113,34
15 Navarra, Comunidad Foral de;2005;114,52
15 Navarra, Comunidad Foral de;2004;116,56
15 Navarra, Comunidad Foral de;2003;119,84
15 Navarra, Comunidad Foral de;2002;122,71
15 Navarra, Comunidad Foral de;2001;122,43
15 Navarra, Comunidad Foral de;2000;120,44
15 Navarra, Comunidad Foral de;1999;118,28
15 Navarra, Comunidad Foral de;1998;114,84
15 Navarra, Comunidad Foral de;1997;110,41
15 Navarra, Comunidad Foral de;1996;105,96
15 Navarra, Comunidad Foral de;1995;100,78
15 Navarra, Comunidad Foral de;1994;95,59
15 Navarra, Comunidad Foral de;1993;90,33
15 Navarra, Comunidad Foral de;1992;85,13
15 Navarra, Comunidad Foral de;1991;80,26
15 Navarra, Comunidad Foral de;1990;74,94
15 Navarra, Comunidad Foral de;1989;70,33
15 Navarra, Comunidad Foral de;1988;65,77
15 Navarra, Comunidad Foral de;1987;61,55
15 Navarra, Comunidad Foral de;1986;57,89
15 Navarra, Comunidad Foral de;1985;54,7
15 Navarra, Comunidad Foral de;1984;52,39
15 Navarra, Comunidad Foral de;1983;50,11
15 Navarra, Comunidad Foral de;1982;48,29
15 Navarra, Comunidad Foral de;1981;46,71
15 Navarra, Comunidad Foral de;1980;44,74
15 Navarra, Comunidad Foral de;1979;43,13
15 Navarra, Comunidad Foral de;1978;41,73
15 Navarra, Comunidad Foral de;1977;40,44
15 Navarra, Comunidad Foral de;1976;39,56
15 Navarra, Comunidad Foral de;1975;38,63
16 País Vasco;2025;183,84
16 País Vasco;2024;176,15
16 País Vasco;2023;169,8
16 País Vasco;2022;165,16
16 País Vasco;2021;159,47
