|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
216|2011|Castilla - La Mancha|39056838|2103.3|6.83|10.16|21.22|10335.0|||0.68|||35.4|0.38|
217|2011|Cataluña|199939125|7504.0|5.69|10.83|17.66|13586.0|||1.59|||60.6|1.01|
218|2011|Comunitat Valenciana|100387555|5002.1|8.03|9.89|22.86|11077.0|||0.66|||56.9|0.92|
219|2011|Extremadura|18273867|1103.5|7.39|9.01|22.97|9414.0|||1.83|||26.7|0.91|
220|2011|Galicia|55816965|2771.7|9.16|7.79|15.32|10825.0|||0.59|||29.5|0.51|
221|2011|Madrid|199623724|6409.1|1.95|11.24|15.84|14089.0|||1.42|||61.3|0.72|
222|2011|Murcia|27698320|1461.1|6.38|11.91|22.87|9451.0|||0.5|||39.6|0.68|
223|2011|Navarra|18058363|638.6|6.21|10.57|11.9|15205.0|||3.05|||32.5|0.78|
224|2011|País Vasco|63907269|2184.0|5.5|9.69|10.69|14906.0|||1.99|||41.0|0.55|
225|2011|Rioja|7945371|321.1|5.8|9.88|14.15|11530.0|||0.82|||31.1|0.62|
226|2011|Ceuta|1491191|82.9|6.86|14.06|23.92|10696.0|||0.0|||75.9|4.82|
227|2011|Melilla|1374489|80.2|0.97|18.15|22.78|12474.0|||0.23|||61.6|0.0|
228|2012|Andalucía|139052618|8378.3|8.3|10.3|30.13|9241.0|||0.89|||47.1|0.81|
229|2012|Aragón|32169749|1340.0|6.16|8.94|17.07|12172.0|||1.15|||34.6|0.45|
230|2012|Asturias|21265200|1070.4|9.87|7.12|17.84|12182.0|||0.57|||28.2|0.56|
231|2012|Balears|26224305|1101.4|8.54|9.96|21.86|11689.0|||0.11|||67.7|0.45|
232|2012|Canarias|38239602|2087.6|6.88|8.22|29.28|8823.0|||0.56|||46.9|0.72|
233|2012|Cantabria|12224935|590.8|6.02|8.57|15.29|11031.0|||0.82|||31.0|0.17|
234|2012|Castilla Y León|52589720|2525.5|6.49|7.54|16.86|11221.0|||2.31|||||
235|2012|Castilla - La Mancha|37644363|2098.3|6.91|9.71|23.08|9547.0|||1.64|||35.5|0.81|
236|2012|Cataluña|194512765|7499.4|6.36|10.33|19.16|12881.0|||0.99|||60.4|0.99|
237|2012|Comunitat Valenciana|95835883|4999.1|6.56|9.52|23.99|10682.0|||2.16|||55.6|1.02|
