año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2011,Canarias,1819760.0,39611706.0,21.767544071745725,9608.0,12679.0,131270.0,112840.0,8.4,7.87,0.82,47.7,28.6,9.9,11.0,12.0,34.0,69.0,6.8,61.2,1620.0,7.14
2012,Canarias,1807503.0,38239602.0,21.15603791528977,8823.0,11983.0,124770.0,107520.0,8.22,6.88,0.72,46.9,29.28,12.8,13.7,10.2,38.8,78.0,7.1,62.7,1493.58,6.76
2013,Canarias,1817445.0,38066975.0,20.945324342689876,8806.0,11960.0,126880.0,117230.0,7.52,8.97,0.62,44.5,32.58,11.2,11.5,20.0,35.8,74.5,7.0,65.6,1358.67,6.38
2014,Canarias,1837677.0,38312937.0,20.848569688797323,8906.0,11915.0,125050.0,111570.0,7.74,8.97,0.57,43.0,33.73,10.6,12.1,16.8,38.4,81.0,7.7,66.9,1291.83,6.43
2015,Canarias,1847199.0,39636569.0,21.45766049028827,8578.0,12458.0,129320.0,118390.0,7.59,8.33,0.95,42.7,32.41,13.0,14.9,18.9,37.8,83.6,10.1,67.0,1318.58,6.68
2016,Canarias,1852510.0,40979670.0,22.121159939757412,8921.0,12830.0,129930.0,11010.0,7.54,8.79,1.0,42.1,29.11,11.1,14.7,16.7,43.1,76.3,8.8,61.3,1356.5,7.1
2017,Canarias,1861363.0,43035839.0,23.120605169437663,9080.0,13322.0,131610.0,116150.0,7.29,8.18,0.94,43.1,26.06,12.1,6.8,21.1,34.3,61.5,7.0,51.0,1448.08,8.02
2018,Canarias,1867494.0,44609266.0,23.887233908114297,9257.0,13519.0,135460.0,120470.0,6.75,9.04,1.17,42.4,23.46,12.5,6.2,11.9,35.7,64.0,7.0,54.7,1652.92,9.21
2019,Canarias,1876355.0,45766832.0,24.39135025088536,9134.0,13987.0,142470.0,128190.0,6.37,8.44,0.92,44.2,20.07,11.6,12.8,9.9,33.4,53.7,5.3,50.2,1817.08,9.82
2020,Canarias,1883410.0,37587399.0,19.957098560589568,9765.0,13030.0,14990.0,135880.0,5.87,8.56,0.55,38.4,20.49,13.3,14.3,23.0,30.9,66.69999999999999,6.9,63.1,1859.5,9.91
2021,Canarias,1885118.0,41407275.0,21.965349118728906,10252.0,13986.0,152940.0,137630.0,5.67,8.85,0.73,37.3,22.62,15.0,17.6,26.2,30.2,59.2,8.2,49.8,1908.08,9.88
2022,Canarias,1889212.0,48865336.0,25.865459249676586,10589.0,14702.0,159010.0,140820.0,5.56,9.75,0.58,43.4,23.46,14.8,16.2,20.0,29.5,60.7,6.3,57.2,2026.75,10.87
2009,Cantabria,551139.0,12811684.0,23.245830906540817,11736.0,14840.0,181080.0,162120.0,9.58,3.98,0.34,29.7,7.16,12.0,2.7,4.5,13.4,49.1,5.7,22.0,1916.17,9.51
2010,Cantabria,553049.0,12882755.0,23.29405712694535,12697.0,14468.0,164560.0,146310.0,9.46,5.52,0.34,29.7,12.0,9.1,1.8,3.4,19.7,59.3,5.3,39.9,1945.67,8.41
2011,Cantabria,554127.0,12680314.0,22.883407594287952,11563.0,14523.0,154470.0,133810.0,9.03,3.34,0.34,30.8,13.7,9.0,1.1,9.0,19.3,52.0,7.2,34.8,1976.25,7.45
2012,Cantabria,554548.0,12224935.0,22.044863564560686,11031.0,13673.0,152110.0,129610.0,8.57,6.02,0.17,31.0,15.29,12.0,3.8,3.2,23.4,51.8,5.3,23.1,1871.33,6.83
2013,Cantabria,553358.0,11944124.0,21.584804050903756,10932.0,13781.0,144260.0,127330.0,8.21,6.14,0.68,29.3,17.8,11.5,4.1,7.8,26.3,71.5,5.2,33.2,1705.33,6.14
2014,Cantabria,553894.0,12158496.0,21.950943682365217,10395.0,13866.0,141370.0,129720.0,7.79,5.08,0.51,29.3,20.44,8.2,0.8,8.2,29.6,65.80000000000001,4.8,31.7,1595.08,6.0
2015,Cantabria,553471.0,12443843.0,22.483279160064395,10324.0,14449.0,151590.0,138260.0,7.5,6.36,0.51,28.7,19.42,7.1,3.1,6.3,22.0,57.4,4.3,29.1,1543.08,5.99
2016,Cantabria,551755.0,12833899.0,23.260140823372694,10968.0,14982.0,154840.0,128680.0,7.3,6.3,0.0,29.2,17.65,10.1,7.1,5.9,23.4,47.7,4.8,34.8,1482.42,6.42
2017,Cantabria,550838.0,13318023.0,24.177749174893528,11133.0,15602.0,161990.0,139990.0,7.09,6.36,0.52,30.0,14.89,6.8,2.7,2.3,21.1,52.8,4.9,12.5,1474.17,6.77
2018,Cantabria,549571.0,13843935.0,25.190439451863362,11873.0,16125.0,1640.0,146030.0,6.55,4.42,0.34,30.4,13.56,9.6,1.9,7.1,21.9,64.9,5.3,31.7,1482.0,7.07
2019,Cantabria,548295.0,14274351.0,26.034071074877573,11715.0,16509.0,177420.0,159320.0,6.1,4.58,1.03,31.0,10.67,4.9,1.4,3.1,20.5,57.7,5.2,40.2,1456.25,7.32
2020,Cantabria,547009.0,12991241.0,23.749592785493473,12705.0,16086.0,185780.0,160830.0,5.85,5.92,0.17,28.4,10.28,5.7,1.4,6.8,18.1,40.6,5.3,31.5,1442.58,7.68
