año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2012,Asturias,21265200.0,1070.4,9.87,7.12,17.84,12182.0,,,0.57,,,28.2,0.56,,19867.0,14318.0,1026533.0,5.7,1.7,5.1,169220.0,15550.0,19.1,45.900000000000006,5.2,26.5,28.2,1660.33,6.67
2013,Asturias,20693890.0,1062.6,10.74,6.28,21.83,12134.0,,,1.7,,,28.3,0.75,68.4,19475.0,14316.0,1019771.0,7.6,1.0,7.5,159940.0,151340.0,21.7,47.8,5.1,27.0,28.3,1564.92,6.24
2014,Asturias,20636251.0,1053.5,12.16,6.26,24.13,11645.0,,,,,,27.0,0.66,,19588.0,14350.0,1016632.0,7.2,0.9,8.4,160110.0,147240.0,26.9,52.0,6.3,24.9,27.0,1456.33,6.0
2015,Asturias,21388142.0,1043.5,12.29,6.18,21.13,11777.0,21.5,,,,,25.9,0.38,,20497.0,14955.0,1009889.0,8.7,1.2,6.5,162270.0,14880.0,22.9,55.7,5.2,29.0,25.9,1410.17,5.99
2016,Asturias,21675441.0,1036.5,11.1,6.12,19.11,11957.0,22.1,,,,,25.2,0.58,,20913.0,15091.0,1002290.0,6.5,1.4,5.3,172410.0,162770.0,19.8,43.4,5.1,22.7,25.2,1374.42,6.18
2017,Asturias,22538267.0,1029.3,10.87,5.84,17.62,12424.0,19.5,,,,,24.9,0.49,,21897.0,15673.0,996076.0,7.4,1.7,5.8,175470.0,156980.0,16.6,45.9,5.5,34.5,24.9,1360.92,6.45
2018,Asturias,23185680.0,1023.6,11.29,5.6,13.71,12696.0,17.9,,,,,25.8,0.68,72.6,22651.0,16168.0,988160.0,6.8,2.8,4.5,173430.0,159250.0,17.4,42.3,4.8,31.6,25.8,1357.42,6.74
2019,Asturias,23666618.0,1019.2,11.05,5.05,13.61,12464.0,21.8,,,,,26.7,0.69,,23220.0,16773.0,981174.0,11.4,3.8,4.8,178680.0,159820.0,24.4,36.8,7.8,28.1,26.7,1348.0,7.06
2020,Asturias,21376392.0,1014.6,10.67,4.7,14.19,13074.0,23.7,,,,,24.0,0.49,,21069.0,16705.0,973463.0,9.7,3.3,11.7,180280.0,15930.0,22.5,34.0,7.3,27.6,24.0,1340.17,7.26
2021,Asturias,23617641.0,1007.3,10.12,4.74,14.12,13351.0,25.8,,,,,26.1,0.1,68.4,23446.0,17413.0,966347.0,10.5,2.9,10.0,179680.0,168010.0,21.4,32.6,6.0,25.9,26.1,1339.42,7.47
2022,Asturias,26698594.0,1005.5,11.04,4.72,12.35,13421.0,25.3,,,,,31.9,0.6,71.8,26552.0,18614.0,959056.0,10.4,3.8,7.6,193680.0,176320.0,20.1,39.4,5.7,24.0,31.9,1340.08,7.71
2009,Balears,26770420.0,1078.1,8.16,11.17,10.16,11909.0,,20.54,1.7,16.35,21.48,,,,24832.0,15421.0,857864.0,18.5,5.9,18.6,175480.0,153080.0,18.1,62.2,6.3,37.8,,2361.08,10.65
2010,Balears,26797013.0,1087.6,10.0,11.0,17.92,12492.0,,20.92,1.59,14.54,70.84,64.5,0.55,,24638.0,15211.0,863793.0,20.6,4.8,13.7,170760.0,152660.0,22.5,61.8,6.9,36.1,64.5,2363.0,9.72
2011,Balears,26646250.0,1095.5,9.22,10.28,20.12,12189.0,,,1.11,,,68.0,1.1,,24324.0,15385.0,870302.0,20.1,4.5,17.4,165680.0,148970.0,23.5,59.3,9.2,36.7,68.0,2394.25,8.72
2012,Balears,26224305.0,1101.4,8.54,9.96,21.86,11689.0,,,0.11,,,67.7,0.45,,23810.0,14640.0,876869.0,20.9,6.5,17.7,163170.0,143950.0,24.1,44.4,6.9,35.9,67.7,2137.0,8.11
