,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
144,Noviembre 2013,2.228 €/m2,"0,0 %","- 0,2 %","- 4,5 %",Madrid
145,Octubre 2013,2.228 €/m2,"- 0,1 %","- 0,6 %","- 5,1 %",Madrid
146,Septiembre 2013,2.231 €/m2,"- 0,1 %","- 0,7 %","- 5,3 %",Madrid
147,Agosto 2013,2.233 €/m2,"- 0,4 %","- 1,8 %","- 6,5 %",Madrid
148,Julio 2013,2.243 €/m2,"- 0,2 %","- 1,7 %","- 7,3 %",Madrid
149,Junio 2013,2.248 €/m2,"- 1,2 %","- 1,5 %","- 8,1 %",Madrid
150,Mayo 2013,2.274 €/m2,"- 0,3 %","- 0,1 %","- 7,8 %",Madrid
151,Abril 2013,2.281 €/m2,"- 0,1 %","- 0,3 %","- 8,0 %",Madrid
152,Marzo 2013,2.282 €/m2,"+ 0,2 %","- 1,3 %","- 9,0 %",Madrid
153,Febrero 2013,2.277 €/m2,"- 0,4 %","- 2,4 %","- 9,3 %",Madrid
154,Enero 2013,2.287 €/m2,"- 1,1 %","- 2,6 %","- 9,7 %",Madrid
155,Diciembre 2012,2.313 €/m2,"- 0,8 %","- 1,8 %","- 9,1 %",Madrid
156,Noviembre 2012,2.333 €/m2,"- 0,6 %","- 2,3 %","- 9,2 %",Madrid
157,Octubre 2012,2.348 €/m2,"- 0,3 %","- 3,0 %","- 9,0 %",Madrid
158,Septiembre 2012,2.356 €/m2,"- 1,4 %","- 3,7 %","- 8,9 %",Madrid
159,Agosto 2012,2.389 €/m2,"- 1,3 %","- 3,1 %","- 8,1 %",Madrid
160,Julio 2012,2.420 €/m2,"- 1,1 %","- 2,4 %","- 7,8 %",Madrid
161,Junio 2012,2.446 €/m2,"- 0,8 %","- 2,5 %","- 7,4 %",Madrid
162,Mayo 2012,2.466 €/m2,"- 0,6 %","- 1,9 %","- 6,7 %",Madrid
163,Abril 2012,2.480 €/m2,"- 1,2 %","- 2,1 %","- 6,1 %",Madrid
164,Marzo 2012,2.509 €/m2,"- 0,1 %","- 1,5 %","- 5,2 %",Madrid
