,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
137,Junio 2014,1.454 €/m2,"- 1,1 %","- 1,8 %","- 9,1 %",Asturias
138,Mayo 2014,1.469 €/m2,"0,0 %","- 1,4 %","- 8,3 %",Asturias
139,Abril 2014,1.469 €/m2,"- 0,7 %","- 2,3 %","- 8,6 %",Asturias
140,Marzo 2014,1.480 €/m2,"- 0,7 %","- 2,1 %","- 8,4 %",Asturias
141,Febrero 2014,1.490 €/m2,"- 0,9 %","- 2,0 %","- 7,8 %",Asturias
142,Enero 2014,1.503 €/m2,"- 0,5 %","- 1,2 %","- 4,0 %",Asturias
143,Diciembre 2013,1.512 €/m2,"- 0,6 %","- 1,3 %","- 5,4 %",Asturias
144,Noviembre 2013,1.520 €/m2,"- 0,1 %","- 0,7 %","- 6,0 %",Asturias
145,Octubre 2013,1.522 €/m2,"- 0,6 %","- 2,3 %","- 6,2 %",Asturias
146,Septiembre 2013,1.531 €/m2,"0,0 %","- 4,3 %","- 5,7 %",Asturias
147,Agosto 2013,1.531 €/m2,"- 1,7 %","- 4,4 %","- 6,2 %",Asturias
148,Julio 2013,1.557 €/m2,"- 2,7 %","- 3,1 %","- 5,0 %",Asturias
149,Junio 2013,1.600 €/m2,"- 0,1 %","- 0,9 %","- 3,6 %",Asturias
150,Mayo 2013,1.602 €/m2,"- 0,4 %","- 0,9 %","- 4,1 %",Asturias
151,Abril 2013,1.607 €/m2,"- 0,5 %","+ 2,6 %","- 4,6 %",Asturias
152,Marzo 2013,1.615 €/m2,"- 0,1 %","+ 1,1 %","- 5,7 %",Asturias
153,Febrero 2013,1.616 €/m2,"+ 3,2 %","0,0 %","- 6,4 %",Asturias
154,Enero 2013,1.566 €/m2,"- 2,0 %","- 3,5 %","- 10,0 %",Asturias
155,Diciembre 2012,1.598 €/m2,"- 1,2 %","- 1,7 %","- 12,1 %",Asturias
156,Noviembre 2012,1.616 €/m2,"- 0,4 %","- 1,0 %","- 12,1 %",Asturias
157,Octubre 2012,1.622 €/m2,"- 0,1 %","- 1,0 %","- 12,1 %",Asturias
158,Septiembre 2012,1.624 €/m2,"- 0,5 %","- 2,1 %","- 11,4 %",Asturias
159,Agosto 2012,1.633 €/m2,"- 0,4 %","- 2,3 %","- 10,8 %",Asturias
160,Julio 2012,1.638 €/m2,"- 1,3 %","- 2,8 %","- 10,7 %",Asturias
161,Junio 2012,1.660 €/m2,"- 0,7 %","- 3,1 %","- 10,3 %",Asturias
