Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta mediana por unidad de consumo;03 Asturias, Principado de;2009;16.083
Renta mediana por unidad de consumo;03 Asturias, Principado de;2008;14.964
Renta mediana por unidad de consumo;04 Balears, Illes;2024;21.296
Renta mediana por unidad de consumo;04 Balears, Illes;2023;19.745
Renta mediana por unidad de consumo;04 Balears, Illes;2022;16.878
Renta mediana por unidad de consumo;04 Balears, Illes;2021;15.765
Renta mediana por unidad de consumo;04 Balears, Illes;2020;18.363
Renta mediana por unidad de consumo;04 Balears, Illes;2019;16.798
Renta mediana por unidad de consumo;04 Balears, Illes;2018;17.039
Renta mediana por unidad de consumo;04 Balears, Illes;2017;14.000
Renta mediana por unidad de consumo;04 Balears, Illes;2016;15.007
Renta mediana por unidad de consumo;04 Balears, Illes;2015;14.954
Renta mediana por unidad de consumo;04 Balears, Illes;2014;14.115
Renta mediana por unidad de consumo;04 Balears, Illes;2013;13.523
Renta mediana por unidad de consumo;04 Balears, Illes;2012;14.395
Renta mediana por unidad de consumo;04 Balears, Illes;2011;14.897
Renta mediana por unidad de consumo;04 Balears, Illes;2010;15.266
Renta mediana por unidad de consumo;04 Balears, Illes;2009;15.308
Renta mediana por unidad de consumo;04 Balears, Illes;2008;14.329
Renta mediana por unidad de consumo;05 Canarias;2024;17.531
Renta mediana por unidad de consumo;05 Canarias;2023;16.092
Renta mediana por unidad de consumo;05 Canarias;2022;14.082
Renta mediana por unidad de consumo;05 Canarias;2021;13.763
Renta mediana por unidad de consumo;05 Canarias;2020;13.588
Renta mediana por unidad de consumo;05 Canarias;2019;12.819
Renta mediana por unidad de consumo;05 Canarias;2018;12.047
Renta mediana por unidad de consumo;05 Canarias;2017;11.615
Renta mediana por unidad de consumo;05 Canarias;2016;11.010
Renta mediana por unidad de consumo;05 Canarias;2015;11.839
Renta mediana por unidad de consumo;05 Canarias;2014;11.157
Renta mediana por unidad de consumo;05 Canarias;2013;11.723
Renta mediana por unidad de consumo;05 Canarias;2012;10.752
Renta mediana por unidad de consumo;05 Canarias;2011;11.284
Renta mediana por unidad de consumo;05 Canarias;2010;12.737
Renta mediana por unidad de consumo;05 Canarias;2009;11.673
Renta mediana por unidad de consumo;05 Canarias;2008;11.815
Renta mediana por unidad de consumo;06 Cantabria;2024;19.785
Renta mediana por unidad de consumo;06 Cantabria;2023;17.895
Renta mediana por unidad de consumo;06 Cantabria;2022;17.307
Renta mediana por unidad de consumo;06 Cantabria;2021;16.364
Renta mediana por unidad de consumo;06 Cantabria;2020;16.083
